timestamp,rel_t,cx,cy,yaw_cdeg,pitch_cdeg,conf,active,valid
2026-08-06T16:31:27.266787,167.188,0,0,0,0,0,0,1
2026-08-06T16:31:27.287775,167.209,0,0,0,0,0,0,1
2026-08-06T16:31:27.309917,167.231,0,0,0,0,0,0,1
2026-08-06T16:31:27.332697,167.254,0,0,0,0,0,0,1
2026-08-06T16:31:27.363250,167.284,0,0,0,0,0,0,1
2026-08-06T16:31:27.384399,167.305,0,0,0,0,0,0,1
2026-08-06T16:31:27.406858,167.328,0,0,0,0,0,0,1
2026-08-06T16:31:27.428114,167.349,0,0,0,0,0,0,1
2026-08-06T16:31:27.449579,167.371,0,0,0,0,0,0,1
2026-08-06T16:31:27.472919,167.394,0,0,0,0,0,0,1
2026-08-06T16:31:27.503005,167.424,0,0,0,0,0,0,1
2026-08-06T16:31:27.524679,167.446,0,0,0,0,0,0,1
2026-08-06T16:31:27.547065,167.468,0,0,0,0,0,0,1
2026-08-06T16:31:27.568198,167.489,0,0,0,0,0,0,1
2026-08-06T16:31:27.589849,167.511,0,0,0,0,0,0,1
2026-08-06T16:31:27.612879,167.534,0,0,0,0,0,0,1
2026-08-06T16:31:27.643564,167.565,0,0,0,0,0,0,1
2026-08-06T16:31:27.664520,167.586,0,0,0,0,0,0,1
2026-08-06T16:31:27.687151,167.608,0,0,0,0,0,0,1
2026-08-06T16:31:27.708340,167.629,0,0,0,0,0,0,1
2026-08-06T16:31:27.729834,167.651,0,0,0,0,0,0,1
2026-08-06T16:31:27.753072,167.674,0,0,0,0,0,0,1
2026-08-06T16:31:27.783433,167.705,0,0,0,0,0,0,1
2026-08-06T16:31:27.804713,167.726,0,0,0,0,0,0,1
2026-08-06T16:31:27.827427,167.748,0,0,0,0,0,0,1
2026-08-06T16:31:27.848830,167.770,0,0,0,0,0,0,1
2026-08-06T16:31:27.870192,167.791,0,0,0,0,0,0,1
2026-08-06T16:31:27.893286,167.814,0,0,0,0,0,0,1
2026-08-06T16:31:27.923460,167.845,0,0,0,0,0,0,1
2026-08-06T16:31:27.944866,167.866,0,0,0,0,0,0,1
2026-08-06T16:31:27.967388,167.888,0,0,0,0,0,0,1
2026-08-06T16:31:27.988632,167.910,0,0,0,0,0,0,1
2026-08-06T16:31:28.010107,167.931,0,0,0,0,0,0,1
2026-08-06T16:31:28.033382,167.954,0,0,0,0,0,0,1
2026-08-06T16:31:28.063597,167.985,0,0,0,0,0,0,1
2026-08-06T16:31:28.084796,168.006,0,0,0,0,0,0,1
2026-08-06T16:31:28.107825,168.029,0,0,0,0,0,0,1
2026-08-06T16:31:28.128832,168.050,0,0,0,0,0,0,1
2026-08-06T16:31:28.150950,168.072,0,0,0,0,0,0,1
2026-08-06T16:31:28.173525,168.095,0,0,0,0,0,0,1
2026-08-06T16:31:28.203951,168.125,0,0,0,0,0,0,1
2026-08-06T16:31:28.225092,168.146,0,0,0,0,0,0,1
2026-08-06T16:31:28.247717,168.169,0,0,0,0,0,0,1
2026-08-06T16:31:28.269048,168.190,0,0,0,0,0,0,1
2026-08-06T16:31:28.291063,168.212,0,0,0,0,0,0,1
2026-08-06T16:31:28.313726,168.235,0,0,0,0,0,0,1
2026-08-06T16:31:28.343801,168.265,0,0,0,0,0,0,1
2026-08-06T16:31:28.365096,168.286,0,0,0,0,0,0,1
2026-08-06T16:31:28.387635,168.309,0,0,0,0,0,0,1
2026-08-06T16:31:28.408865,168.330,0,0,0,0,0,0,1
2026-08-06T16:31:28.432366,168.353,0,0,0,0,0,0,1
2026-08-06T16:31:28.454746,168.376,0,0,0,0,0,0,1
2026-08-06T16:31:28.483980,168.405,0,0,0,0,0,0,1
2026-08-06T16:31:28.505002,168.426,0,0,0,0,0,0,1
2026-08-06T16:31:28.527770,168.449,0,0,0,0,0,0,1
2026-08-06T16:31:28.548946,168.470,0,0,0,0,0,0,1
2026-08-06T16:31:28.570600,168.492,0,0,0,0,0,0,1
2026-08-06T16:31:28.593679,168.515,0,0,0,0,0,0,1
2026-08-06T16:31:28.624250,168.545,0,0,0,0,0,0,1
2026-08-06T16:31:28.645342,168.566,0,0,0,0,0,0,1
2026-08-06T16:31:28.667924,168.589,0,0,0,0,0,0,1
2026-08-06T16:31:28.689152,168.610,0,0,0,0,0,0,1
2026-08-06T16:31:28.710649,168.632,0,0,0,0,0,0,1
2026-08-06T16:31:28.733788,168.655,0,0,0,0,0,0,1
2026-08-06T16:31:28.764035,168.685,0,0,0,0,0,0,1
2026-08-06T16:31:28.785436,168.707,0,0,0,0,0,0,1
2026-08-06T16:31:28.808057,168.729,0,0,0,0,0,0,1
2026-08-06T16:31:28.829153,168.750,0,0,0,0,0,0,1
2026-08-06T16:31:28.850655,168.772,0,0,0,0,0,0,1
2026-08-06T16:31:28.873996,168.795,0,0,0,0,0,0,1
2026-08-06T16:31:28.904435,168.826,0,0,0,0,0,0,1
2026-08-06T16:31:28.925536,168.847,0,0,0,0,0,0,1
2026-08-06T16:31:28.948079,168.869,0,0,0,0,0,0,1
2026-08-06T16:31:28.969435,168.890,0,0,0,0,0,0,1
2026-08-06T16:31:28.990880,168.912,0,0,0,0,0,0,1
2026-08-06T16:31:29.014092,168.935,0,0,0,0,0,0,1
2026-08-06T16:31:29.044640,168.966,0,0,0,0,0,0,1
2026-08-06T16:31:29.065608,168.987,0,0,0,0,0,0,1
2026-08-06T16:31:29.088184,169.009,0,0,0,0,0,0,1
2026-08-06T16:31:29.109491,169.031,0,0,0,0,0,0,1
2026-08-06T16:31:29.130928,169.052,0,0,0,0,0,0,1
2026-08-06T16:31:29.154091,169.075,0,0,0,0,0,0,1
2026-08-06T16:31:29.184538,169.106,0,0,0,0,0,0,1
2026-08-06T16:31:29.205629,169.127,0,0,0,0,0,0,1
2026-08-06T16:31:29.228254,169.149,0,0,0,0,0,0,1
2026-08-06T16:31:29.249585,169.171,0,0,0,0,0,0,1
2026-08-06T16:31:29.271021,169.192,0,0,0,0,0,0,1
2026-08-06T16:31:29.294112,169.215,0,0,0,0,0,0,1
2026-08-06T16:31:29.324783,169.246,0,0,0,0,0,0,1
2026-08-06T16:31:29.345945,169.267,0,0,0,0,0,0,1
2026-08-06T16:31:29.368658,169.290,0,0,0,0,0,0,1
2026-08-06T16:31:29.389629,169.311,0,0,0,0,0,0,1
2026-08-06T16:31:29.412038,169.333,0,0,0,0,0,0,1
2026-08-06T16:31:29.434304,169.355,0,0,0,0,0,0,1
2026-08-06T16:31:29.465029,169.386,0,0,0,0,0,0,1
2026-08-06T16:31:29.486135,169.407,0,0,0,0,0,0,1
2026-08-06T16:31:29.508672,169.430,0,0,0,0,0,0,1
2026-08-06T16:31:29.530030,169.451,0,0,0,0,0,0,1
2026-08-06T16:31:29.552087,169.473,0,0,0,0,0,0,1
2026-08-06T16:31:29.574916,169.496,0,0,0,0,0,0,1
2026-08-06T16:31:29.605021,169.526,0,0,0,0,0,0,1
2026-08-06T16:31:29.626296,169.547,0,0,0,0,0,0,1
2026-08-06T16:31:29.648743,169.570,0,0,0,0,0,0,1
2026-08-06T16:31:29.669765,169.591,0,0,0,0,0,0,1
2026-08-06T16:31:29.691488,169.613,0,0,0,0,0,0,1
2026-08-06T16:31:29.714646,169.636,0,0,0,0,0,0,1
2026-08-06T16:31:29.744889,169.666,0,0,0,0,0,0,1
2026-08-06T16:31:29.766038,169.687,0,0,0,0,0,0,1
2026-08-06T16:31:29.788802,169.710,0,0,0,0,0,0,1
2026-08-06T16:31:29.809790,169.731,0,0,0,0,0,0,1
2026-08-06T16:31:29.831461,169.753,0,0,0,0,0,0,1
2026-08-06T16:31:29.854642,169.776,0,0,0,0,0,0,1
2026-08-06T16:31:29.885241,169.806,0,0,0,0,0,0,1
2026-08-06T16:31:29.906214,169.827,0,0,0,0,0,0,1
2026-08-06T16:31:29.928790,169.850,0,0,0,0,0,0,1
2026-08-06T16:31:29.950334,169.871,0,0,0,0,0,0,1
2026-08-06T16:31:29.971638,169.893,0,0,0,0,0,0,1
2026-08-06T16:31:29.995100,169.916,0,0,0,0,0,0,1
2026-08-06T16:31:30.025103,169.946,0,0,0,0,0,0,1
2026-08-06T16:31:30.046501,169.967,0,0,0,0,0,0,1
2026-08-06T16:31:30.068903,169.990,0,0,0,0,0,0,1
2026-08-06T16:31:30.090209,170.011,0,0,0,0,0,0,1
2026-08-06T16:31:30.111776,170.033,0,0,0,0,0,0,1
2026-08-06T16:31:30.134983,170.056,0,0,0,0,0,0,1
2026-08-06T16:31:30.165264,170.086,0,0,0,0,0,0,1
2026-08-06T16:31:30.186614,170.108,0,0,0,0,0,0,1
2026-08-06T16:31:30.209151,170.130,0,0,0,0,0,0,1
2026-08-06T16:31:30.230639,170.152,0,0,0,0,0,0,1
2026-08-06T16:31:30.252757,170.174,0,0,0,0,0,0,1
2026-08-06T16:31:30.275047,170.196,0,0,0,0,0,0,1
2026-08-06T16:31:30.305607,170.227,0,0,0,0,0,0,1
2026-08-06T16:31:30.326646,170.248,0,0,0,0,0,0,1
2026-08-06T16:31:30.349238,170.270,0,0,0,0,0,0,1
2026-08-06T16:31:30.370667,170.292,0,0,0,0,0,0,1
2026-08-06T16:31:30.391915,170.313,0,0,0,0,0,0,1
2026-08-06T16:31:30.415395,170.336,0,0,0,0,0,0,1
2026-08-06T16:31:30.445451,170.367,0,0,0,0,0,0,1
2026-08-06T16:31:30.466674,170.388,0,0,0,0,0,0,1
2026-08-06T16:31:30.489308,170.410,0,0,0,0,0,0,1
2026-08-06T16:31:30.510602,170.432,0,0,0,0,0,0,1
2026-08-06T16:31:30.532249,170.453,0,0,0,0,0,0,1
2026-08-06T16:31:30.557358,170.478,0,0,0,0,0,0,1
2026-08-06T16:31:30.585464,170.507,0,0,0,0,0,0,1
2026-08-06T16:31:30.606654,170.528,0,0,0,0,0,0,1
2026-08-06T16:31:30.629509,170.551,0,0,0,0,0,0,1
2026-08-06T16:31:30.650534,170.572,0,0,0,0,0,0,1
2026-08-06T16:31:30.672168,170.593,0,0,0,0,0,0,1
2026-08-06T16:31:30.695170,170.616,0,0,0,0,0,0,1
2026-08-06T16:31:30.725870,170.647,0,0,0,0,0,0,1
2026-08-06T16:31:30.747223,170.668,0,0,0,0,0,0,1
2026-08-06T16:31:30.769582,170.691,0,0,0,0,0,0,1
2026-08-06T16:31:30.790800,170.712,0,0,0,0,0,0,1
2026-08-06T16:31:30.812232,170.733,0,0,0,0,0,0,1
2026-08-06T16:31:30.835488,170.757,0,0,0,0,0,0,1
2026-08-06T16:31:30.865924,170.787,0,0,0,0,0,0,1
2026-08-06T16:31:30.887064,170.808,0,0,0,0,0,0,1
2026-08-06T16:31:30.909622,170.831,0,0,0,0,0,0,1
2026-08-06T16:31:30.930748,170.852,0,0,0,0,0,0,1
2026-08-06T16:31:30.952221,170.873,0,0,0,0,0,0,1
2026-08-06T16:31:30.975369,170.896,0,0,0,0,0,0,1
2026-08-06T16:31:31.005730,170.927,0,0,0,0,0,0,1
2026-08-06T16:31:31.027209,170.948,0,0,0,0,0,0,1
2026-08-06T16:31:31.049638,170.971,0,0,0,0,0,0,1
2026-08-06T16:31:31.070704,170.992,0,0,0,0,0,0,1
2026-08-06T16:31:31.092496,171.014,0,0,0,0,0,0,1
2026-08-06T16:31:31.115487,171.037,0,0,0,0,0,0,1
2026-08-06T16:31:31.146282,171.067,0,0,0,0,0,0,1
2026-08-06T16:31:31.167297,171.088,0,0,0,0,0,0,1
2026-08-06T16:31:31.189868,171.111,0,0,0,0,0,0,1
2026-08-06T16:31:31.211182,171.132,0,0,0,0,0,0,1
2026-08-06T16:31:31.232392,171.153,0,0,0,0,0,0,1
2026-08-06T16:31:31.255965,171.177,0,0,0,0,0,0,1
2026-08-06T16:31:31.286219,171.207,0,0,0,0,0,0,1
2026-08-06T16:31:31.307340,171.228,0,0,0,0,0,0,1
